#########################################################
355 s - GC Name: G1 Young Generation, GC Action: end of minor GC, GC ID: 44, GC Duration: 11 ms, GC Couse: G1 Evacuation Pause
359 s - GC Name: G1 Young Generation, GC Action: end of minor GC, GC ID: 45, GC Duration: 6 ms, GC Couse: G1 Evacuation Pause
#########################################################
Info per interval: 60 s, GC done: 16, GC duration: 160 ms
#########################################################
362 s - GC Name: G1 Young Generation, GC Action: end of minor GC, GC ID: 46, GC Duration: 15 ms, GC Couse: G1 Evacuation Pause
366 s - GC Name: G1 Young Generation, GC Action: end of minor GC, GC ID: 47, GC Duration: 18 ms, GC Couse: G1 Evacuation Pause
366 s - GC Name: G1 Old Generation, GC Action: end of major GC, GC ID: 1, GC Duration: 100 ms, GC Couse: G1 Evacuation Pause
371 s - GC Name: G1 Young Generation, GC Action: end of minor GC, GC ID: 48, GC Duration: 5 ms, GC Couse: G1 Evacuation Pause
374 s - GC Name: G1 Young Generation, GC Action: end of minor GC, GC ID: 49, GC Duration: 4 ms, GC Couse: G1 Evacuation Pause
378 s - GC Name: G1 Young Generation, GC Action: end of minor GC, GC ID: 50, GC Duration: 11 ms, GC Couse: G1 Evacuation Pause
382 s - GC Name: G1 Young Generation, GC Action: end of minor GC, GC ID: 51, GC Duration: 11 ms, GC Couse: G1 Evacuation Pause
382 s - GC Name: G1 Old Generation, GC Action: end of major GC, GC ID: 2, GC Duration: 145 ms, GC Couse: G1 Evacuation Pause
386 s - GC Name: G1 Young Generation, GC Action: end of minor GC, GC ID: 52, GC Duration: 4 ms, GC Couse: G1 Evacuation Pause
390 s - GC Name: G1 Young Generation, GC Action: end of minor GC, GC ID: 53, GC Duration: 7 ms, GC Couse: G1 Evacuation Pause
392 s - GC Name: G1 Young Generation, GC Action: end of minor GC, GC ID: 54, GC Duration: 12 ms, GC Couse: G1 Evacuation Pause
392 s - GC Name: G1 Old Generation, GC Action: end of major GC, GC ID: 3, GC Duration: 103 ms, GC Couse: G1 Evacuation Pause
397 s - GC Name: G1 Young Generation, GC Action: end of minor GC, GC ID: 55, GC Duration: 14 ms, GC Couse: G1 Evacuation Pause
397 s - GC Name: G1 Old Generation, GC Action: end of major GC, GC ID: 4, GC Duration: 149 ms, GC Couse: G1 Evacuation Pause
401 s - GC Name: G1 Young Generation, GC Action: end of minor GC, GC ID: 56, GC Duration: 12 ms, GC Couse: G1 Evacuation Pause
401 s - GC Name: G1 Old Generation, GC Action: end of major GC, GC ID: 5, GC Duration: 111 ms, GC Couse: G1 Evacuation Pause
404 s - GC Name: G1 Young Generation, GC Action: end of minor GC, GC ID: 57, GC Duration: 10 ms, GC Couse: G1 Evacuation Pause
404 s - GC Name: G1 Old Generation, GC Action: end of major GC, GC ID: 6, GC Duration: 124 ms, GC Couse: G1 Evacuation Pause
406 s - GC Name: G1 Young Generation, GC Action: end of minor GC, GC ID: 58, GC Duration: 6 ms, GC Couse: G1 Evacuation Pause
406 s - GC Name: G1 Old Generation, GC Action: end of major GC, GC ID: 7, GC Duration: 109 ms, GC Couse: G1 Evacuation Pause
409 s - GC Name: G1 Young Generation, GC Action: end of minor GC, GC ID: 59, GC Duration: 5 ms, GC Couse: G1 Evacuation Pause
409 s - GC Name: G1 Old Generation, GC Action: end of major GC, GC ID: 8, GC Duration: 104 ms, GC Couse: G1 Evacuation Pause
412 s - GC Name: G1 Young Generation, GC Action: end of minor GC, GC ID: 60, GC Duration: 12 ms, GC Couse: G1 Evacuation Pause
412 s - GC Name: G1 Old Generation, GC Action: end of major GC, GC ID: 9, GC Duration: 116 ms, GC Couse: G1 Evacuation Pause
414 s - GC Name: G1 Young Generation, GC Action: end of minor GC, GC ID: 61, GC Duration: 3 ms, GC Couse: G1 Evacuation Pause
414 s - GC Name: G1 Old Generation, GC Action: end of major GC, GC ID: 10, GC Duration: 110 ms, GC Couse: G1 Evacuation Pause
414 s - GC Name: G1 Young Generation, GC Action: end of minor GC, GC ID: 62, GC Duration: 4 ms, GC Couse: G1 Evacuation Pause
414 s - GC Name: G1 Old Generation, GC Action: end of major GC, GC ID: 11, GC Duration: 127 ms, GC Couse: G1 Evacuation Pause
416 s - GC Name: G1 Young Generation, GC Action: end of minor GC, GC ID: 63, GC Duration: 4 ms, GC Couse: G1 Evacuation Pause
416 s - GC Name: G1 Old Generation, GC Action: end of major GC, GC ID: 12, GC Duration: 104 ms, GC Couse: G1 Evacuation Pause
